port_code,city,state_code,new_city
ANC,ANCHORAGE,AK,Anchorage
EGL,EAGLE,AK,Eagle
FRB,FAIRBANKS,AK,Fairbanks
HOM,HOMER,AK,Homer
HYD,HYDER,AK,Hyder
JUN,JUNEAU,AK,Juneau
5KE,KETCHIKAN,AK,Ketchikan
KET,KETCHIKAN,AK,Ketchikan
NIK,NIKISKI,AK,Nikiski
NOM,NOM,AK,Nome
ORI,PORT LIONS SPB,AK,Port Lions
SKA,SKAGWAY,AK,Skagway
SNP,ST. PAUL ISLAND,AK,Saint Paul Island
TKI,TOKEEN,AK,Tokeen
WRA,WRANGELL,AK,Wrangell
HSV,MADISON COUNTY - HUNTSVILLE,AL,Huntsville
MOB,MOBILE,AL,Mobile
ROG,ROGERS ARPT,AR,Rogers
DOU,DOUGLAS,AZ,Douglas
NOG,NOGALES,AZ,Nogales
PHO,PHOENIX,AZ,Phoenix
TUC,TUCSON,AZ,Tucson
YUI,YUMA,AZ,Yuma
BUR,BURBANK,CA,Burbank
CAL,CALEXICO,CA,Calexico
FRE,FRESNO,CA,Fresno
ICP,IMPERIAL COUNTY,CA,Imperial
LNB,LONG BEACH,CA,Long Beach
LOS,LOS ANGELES,CA,Los Angeles
BFL,MEADOWS FIELD - BAKERSFIELD,CA,Bakersfield
OAK,OAKLAND,CA,Oakland
ONT,ONTARIO,CA,Ontario
OTM,OTAY MESA,CA,San Diego
PSP,PALM SPRINGS,CA,Palm Springs
SAC,SACRAMENTO,CA,Sacramento
SDP,SAN DIEGO,CA,San Diego
SFR,SAN FRANCISCO,CA,San Francisco
SNJ,SAN JOSE,CA,San Jose
SLO,SAN LUIS OBISPO,CA,San Luis Obispo
SAA,SANTA ANA,CA,Santa Ana
APA,ARAPAHOE COUNTY,CO,Arapahoe County
COS,COLORADO SPRINGS,CO,Colorado Springs
DEN,DENVER,CO,Denver
DRO,LA PLATA - DURANGO,CO,Durango
BDL,BRADLEY INTERNATIONAL,CT,Hartford
BGC,BRIDGEPORT,CT,Bridgeport
GRT,GROTON,CT,Groton
HAR,HARTFORD,CT,Hartford
NWH,NEW HAVEN,CT,New Haven
NWL,NEW LONDON,CT,New London
WLL,WILMINGTON,DE,Wilmington
BOC,BOCAGRANDE,FL,Fort Myers
SRQ,BRADENTON - SARASOTA,FL,Sarasota
CAN,CAPE CANAVERAL,FL,Cape Canaveral
DAB,DAYTONA BEACH INTERNATIONAL,FL,Daytona Beach
FRN,FERNANDINA,FL,Fernandina Beach
FTL,FORT LAUDERDALE,FL,Fort Lauderdale
FMY,FORT MYERS,FL,Fort Myers
FPF,FORT PIERCE,FL,Fort Pierce
GNV,J R ALISON MUNI - GAINESVILLE,FL,Gainesville
JAC,JACKSONVILLE,FL,Jacksonville
KEY,KEY WEST,FL,Key West
LEE,LEESBURG MUNICIPAL AIRPORT,FL,Leesburg
MLB,MELBOURNE,FL,Melbourne
MIA,MIAMI,FL,Miami
OPF,OPA LOCKA,FL,Miami
ORL,ORLANDO,FL,Orlando
PAN,PANAMA CITY,FL,Panama City
PEN,PENSACOLA,FL,Pensacola
PEV,PORT EVERGLADES,FL,Fort Lauderdale
SFB,SANFORD,FL,Sanford
SGJ,ST AUGUSTINE ARPT,FL,Saint Augustine
SAU,ST AUGUSTINE,FL,Saint Augustine
FPR,ST LUCIE COUNTY,FL,Fort Pierce
SPE,ST PETERSBURG,FL,Saint Petersburg
TAM,TAMPA,FL,Tampa
WPB,WEST PALM BEACH,FL,West Palm Beach
ATL,ATLANTA,GA,Atlanta
BRU,BRUNSWICK,GA,Brunswick
AGS,BUSH FIELD - AUGUSTA,GA,Augusta-Richmond County consolidated government
SAV,SAVANNAH,GA,Savannah
AGA,AGANA,GU,Agana
HHW,HONOLULU,HI,Urban Honolulu
OGG,KAHULUI - MAUI,HI,Kahului
KOA,KEAHOLE-KONA,HI,Kailua-Kona
LIH,LIHUE,HI,Lihue
CID,CEDAR RAPIDS/IOWA CITY,IA,Cedar Rapids
DSM,DES MOINES,IA,Des Moines
BOI,AIR TERM. (GOWEN FLD) BOISE,ID,Boise
IDA,FANNING FIELD - IDAHO FALLS,ID,Idaho Falls
SPI,CAPITAL - SPRINGFIELD,IL,Springfield
CHI,CHICAGO,IL,Chicago
DPA,DUPAGE COUNTY,IL,Dupage County
PIA,GREATER PEORIA,IL,Peoria
RFD,GREATER ROCKFORD,IL,Rockford
UGN,MEMORIAL - WAUKEGAN,IL,Waukegan
GAR,GARY,IN,Gary
HMM,HAMMOND,IN,Hammond
INP,INDIANAPOLIS,IN,Indianapolis
MRL,MERRILLVILLE,IL,Merrillville
SBN,SOUTH BEND,IN,South Bend
ICT,MID-CONTINENT - WITCHITA,KS,Wichita
LEX,BLUE GRASS - LEXINGTON,KY,Lexington-Fayette  county
LOU,LOUISVILLE,KY,Louisville/Jefferson County metro government
BTN,BATON ROUGE,LA,Baton Rouge
LKC,LAKE CHARLES,LA,Lake Charles
MLU,MONROE,LA,Monroe
MGC,MORGAN CITY,LA,Morgan City
NOL,NEW ORLEANS,LA,New Orleans
BOS,BOSTON,MA,Boston
GLO,GLOUCESTER,MA,Gloucester
BAL,BALTIMORE,MD,Baltimore
MKG,MUSKEGON,MI,Muskegon
BGM,BANGOR,ME,Bangor
BCK,BUCKPORT,ME,Bucksport
CRB,CARIBOU,ME,Caribou
EPT,EASTPORT MUNICIPAL,ME,Eastport
EPM,EASTPORT,ME,Eastport
HTM,HOULTON,ME,Houlton
JKM,JACKMAN,ME,Jackman
KAL,KALISPEL,MT,Kalispel
LIM,LIMESTONE,ME,Limestone
LUB,LUBEC,ME,Lubec
POM,PORTLAND,ME,Portland
SBR,SOUTH BREWER,ME,Brewer
ALP,ALPENA,MI,Alpena
BCY,BAY CITY,MI,Bay City
DET,DETROIT,MI,Detroit
GRP,GRAND RAPIDS,MI,Grand Rapids
GRO,GROSSE ISLE,MI,Detroit
MRC,MARINE CITY,MI,Marine City
PTK,OAKLAND COUNTY - PONTIAC,MI,Detroit
PHU,PORT HURON,MI,Port Huron
SAG,SAGINAW,MI,Saginaw
SSM,SAULT STE. MARIE,MI,Sault Sainte Marie
SCL,ST CLAIR,MI,Port Huron
YIP,WILLOW RUN - YPSILANTI,MI,Detroit
GTF,Collapsed into INT,MN,International Falls
INL,Collapsed into INT,MN,International Falls
MIC,CRYSTAL MUNICIPAL AIRPORT,MN,Minneapolis
DUL,DULUTH,MN,Duluth
ELY,ELY,MN,Ely
INT,INT''L FALLS,MN,International Falls
MSP,MINN./ST PAUL,MN,Minneapolis
RST,ROCHESTER,MN,Rochester
SPM,ST PAUL,MN,Saint Paul
KAN,KANSAS CITY,MO,Kansas City 
SGF,SPRINGFIELD-BRANSON,MO,Springfield
STL,ST LOUIS,MO,Saint Louis
GPT,BILOXI REGIONAL,MS,Gulfport
GTR,GOLDEN TRIANGLE LOWNDES CNTY,MS,Columbus
GUL,GULFPORT,MS,Gulfport
PAS,PASCAGOULA,MS,Pascagoula
JAN,THOMPSON FIELD - JACKSON,MS,Jackson
BIL,BILLINGS,MT,Billings
BTM,BUTTE,MT,Butte
CTB,CUT BANK MUNICIPAL,MT,Cut Bank
CUT,CUT BANK,MT,Cut Bank
BZN,GALLATIN FIELD - BOZEMAN,MT,Bozeman
FCA,GLACIER NATIONAL PARK,MT,Kalispel
GGW,GLASGOW,MT,Glasgow
GRE,GREAT FALLS,MT,Great Falls
HVR,HAVRE,MT,Havre
HEL,HELENA,MT,Helena
LWT,LEWISTON,MT,Lewiston
MGM,MORGAN,MT,Morgan City
OPH,OPHEIM,MT,Opheim
SCO,SCOBEY,MT,Scobey
SWE,SWEETGTASS,MT,Sweetgrass
TUR,TURNER,MT,Turner
CLT,CHARLOTTE,NC,Charlotte
FAY,FAYETTEVILLE,NC,Fayetteville
GSO,PIEDMONT TRIAD INTL AIRPORT,NC,Greensboro
RDU,RALEIGH/DURHAM,NC,Raleigh
WIL,WILMINGTON,NC,Wilmington
DNS,DUNSEITH,ND,Dunseith
FAR,FARGO,ND,Fargo
GRF,GRAND FORKS,ND,Grand Forks
MND,MINOT,ND,Minot
PEM,PEMBINA,ND,Pembina
WAL,WALHALLA,ND,Walhalla
WHO,WESTHOPE,ND,Westhope
WND,WILLISTON,ND,Williston
OMA,OMAHA,NE,Omaha
LEB,LEBANON,NH,Lebanon
MHT,MANCHESTER,NH,Manchester
PSM,PORTSMOUTH,NH,Portsmouth
BYO,BAYONNE,NJ,Newark
CNJ,CAMDEN,PA,Philadelphia
HOB,HOBOKEN,NJ,Hoboken
JER,JERSEY CITY,NJ,Jersey City
MMU,MORRISTOWN,NJ,Morristown
NEW,NEWARK/TETERBORO,NJ,Newark
PER,PERTH AMBOY,NJ,Perth Amboy
ACY,POMONA FIELD - ATLANTIC CITY,NJ,Atlantic City
ABQ,ALBUQUERQUE,NM,Albuquerque
CRL,CARLSBAD,NM,Carlsbad
COL,COLUMBUS,NM,Columbus
LAS,LAS CRUCES,NM,Las Cruces
RUI,RUIDOSO,NM,Ruidoso
STR,SANTA TERESA,NM,Santa Teresa
RNO,CANNON INTL - RENO/TAHOE,NV,Reno
FLX,FALLON MUNICIPAL AIRPORT,NV,Fallon
LVG,LAS VEGAS,NV,Las Vegas
REN,RENO,NV,Reno
ALB,ALBANY,NY,Albany
BUF,BUFFALO,NY,Buffalo
LAG,LA GUARDIA,NY,New York
MAS,MASSENA,NY,Massena
NYC,NEW YORK,NY,New York
NIA,NIAGARA FALLS,NY,Niagara Falls
OGD,OGDENSBURG,NY,Ogdensburg
OSW,OSWEGO,NY,Fulton
ELM,REGIONAL ARPT - HORSEHEAD,NY,Elmira
ROC,ROCHESTER,NY,Rochester
SWF,STEWART - ORANGE CNTY,NY,Newburgh
SYR,SYRACUSE,NY,Syracuse
WAT,WATERTOWN,NY,Watertown
HPN,WESTCHESTER - WHITE PLAINS,NY,White Plains
AKR,AKRON,OH,Akron
CIN,CINCINNATI,OH,Cincinnati
CLE,CLEVELAND,OH,Cleveland
CLM,COLUMBUS,OH,Columbus
LOR,LORAIN,OH,Lorain
SDY,SANDUSKY,OH,Sandusky
TOL,TOLEDO,OH,Toledo
OKC,OKLAHOMA CITY,OK,Oklahoma City
TUL,TULSA,OK,Tulsa
AST,ASTORIA,OR,Astoria
COO,COOS BAY,OR,North Bend
HIO,HILLSBORO,OR,Hillsboro
MED,MEDFORD,OR,Medford
NPT,NEWPORT,OR,Newport
POO,PORTLAND,OR,Portland
RDM,ROBERTS FIELDS - REDMOND,OR,Redmond
ERI,ERIE,PA,Erie
MDT,HARRISBURG,PA,Harrisburg
HSB,HARRISONBURG,VA,Harrisonburg
PHI,PHILADELPHIA,PA,Philadelphia
PIT,PITTSBURG,PA,Pittsburg
AGU,AGUADILLA,PR,Aguadilla
BQN,BORINQUEN - AGUADILLO,PR,Aguadilla
JCP,CULEBRA - BENJAMIN RIVERA,PR,Culebra
FAJ,FAJARDO,PR,Fajardo
HUM,HUMACAO,PR,Humacao
JOB,JOBOS,PR,Aguadilla
MAY,MAYAGUEZ,PR,Mayaguez
PON,PONCE,PR,Ponce
PSE,PONCE-MERCEDITA,PR,Ponce
SAJ,SAN JUAN,PR,San Juan
VQS,VIEQUES-ARPT,PR,Vieques
PRO,PROVIDENCE,RI,Providence
PVD,THEODORE FRANCIS - WARWICK,RI,Warwick
CHL,CHARLESTON,SC,Charleston
GEO,GEORGETOWN,SC,Georgetown
GSP,GREENVILLE,SC,Greenville
GRR,GREER,SC,Greer
MYR,MYRTLE BEACH,SC,Myrtle Beach
HON,HOWES REGIONAL ARPT - HURON,SD,Huron
TYS,MC GHEE TYSON - ALCOA,TN,Knoxville
MEM,MEMPHIS,TN,Memphis
NSV,NASHVILLE,TN,Nashville
TRI,TRI CITY ARPT,TN,Tri-Cities
ADS,ADDISON AIRPORT- ADDISON,TX,Dallas
AUS,AUSTIN,TX,Austin
BEA,BEAUMONT,TX,Beaumont
BRO,BROWNSVILLE,TX,Brownsville
CRP,CORPUS CHRISTI,TX,Corpus Christi
DAL,DALLAS,TX,Dallas
DLR,DEL RIO,TX,Del Rio
ELP,EL PASO,TX,El Paso
FAB,FABENS,TX,Fabens
AFW,FORT WORTH ALLIANCE,TX,Fort Worth
FPT,FREEPORT,TX,Freeport
GAL,GALVESTON,TX,Galveston
HLG,HARLINGEN,TX,Harlingen
HOU,HOUSTON,TX,Houston
LCB,LAREDO COLUMBIA BRIDGE,TX,Laredo
LRN,LAREDO NORTH,TX,Laredo
LAR,LAREDO,TX,Laredo
MCA,MCALLEN,TX,McAllen
MAF,ODESSA REGIONAL,TX,Odessa
PHR,PHARR,TX,Pharr
PAR,PORT ARTHUR,TX,Beaumont
POE,PORT OF EL PASO,TX,El Paso
SNA,SAN ANTONIO,TX,San Antonio
CHA,CHARLOTTE AMALIE,VI,Charlotte Amalie
CHR,CHRISTIANSTED,VI,Christiansted
FRK,FREDERIKSTED,VI,Frederiksted
STT,ST THOMAS,VI,Charlotte Amalie
LGU,CACHE AIRPORT - LOGAN,UT,Logan
SLC,SALT LAKE CITY,UT,Salt Lake City
CHO,ALBEMARLE CHARLOTTESVILLE,VA,Charlottesville
HOP,HOPEWELL,VA,Hopewell
NWN,NEWPORT,VA,Newport News
NOR,NORFOLK,VA,Norfolk
RCM,RICHMOND,VA,Richmond
BRG,BURLINGTON,VT,Burlington
NPV,NEWPORT,VT,Newport
ABE,ABERDEEN,WA,Aberdeen
ANA,ANACORTES,WA,Anacortes
BEL,BELLINGHAM,WA,Bellingham
BLA,BLAINE,WA,Blaine
EVE,EVERETT,WA,Everett
FER,FERRY,WA,Republic
FRI,FRIDAY HARBOR,WA,Friday Harbor
KLM,KALAMA,WA,Kalama
LAU,LAURIER,WA,Laurier
LON,LONGVIEW,WA,Kelso
MET,METALINE FALLS,WA,Metaline Falls
MWH,MOSES LAKE GRANT COUNTY ARPT,WA,Moses Lake
OLY,OLYMPIA,WA,Olympia
ORO,OROVILLE,WA,Oroville
PWB,PASCO,WA,Pasco
PIR,POINT ROBERTS,WA,Point Roberts
PNG,PORT ANGELES,WA,Port Angeles
PTO,PORT TOWNSEND,WA,Port Townsend
SEA,SEATTLE,WA,Seattle
SPO,SPOKANE,WA,Spokane
TAC,TACOMA,WA,Tacoma
PSC,TRI-CITIES - PASCO,WA,Pasco
VAN,VANCOUVER,WA,Vancouver
GRB,GREEN BAY,WI,Green Bay
MNW,MANITOWOC,WI,Manitowoc
MIL,MILWAUKEE,WI,Milwaukee
MSN,TRUAX FIELD - DANE COUNTY,WI,Madison
CHS,CHARLESTON,WV,Charleston
CLK,CLARKSBURG,WV,Clarksburg
BLF,MERCER COUNTY,WV,Bluefield
CSP,CASPER,WY,Casper
AG0,MAGNOLIA,AR,Magnolia
BHM,BAR HARBOR,ME,Bar Harbor
BHX,BIRMINGHAM,AL,Birmingham
CAK,AKRON,OH,Akron
FOK,SUFFOLK COUNTY,NY,Suffolk County
LND,LANDER,WY,Lander
MAR,MARFA,TX,Marfa
MLI,MOLINE,IL,Moline
RIV,RIVERSIDE,CA,Riverside
RME,ROME,NY,Rome
VNY,VAN NUYS,CA,Los Angeles
YUM,YUMA,AZ,Yuma
